TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,3,2024-07-20,61,"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",216,286,9.0,Wonderful,908,New York
1,3,2024-07-20,62,DoubleTree by Hilton New York Downtown,260,302,7.8,Good,1673,New York
1,3,2024-07-20,63,Sofitel New York,284,364,8.6,Excellent,1006,Central New York City
1,3,2024-07-20,64,Four Points By Sheraton New York Downtown,246,285,8.0,Very Good,1612,New York
1,3,2024-07-20,65,"Holiday Inn New York City - Times Square, an IHG Hotel",292,339,8.2,Very Good,1474,New York
1,3,2024-07-20,66,The Luxury Collection Hotel Manhattan Midtown,356,454,8.6,Excellent,1005,New York
1,3,2024-07-20,67,Grayson Hotel in the Unbound Collection by Hyatt,251,326,9.2,Wonderful,348,Central New York City
1,3,2024-07-20,68,DoubleTree by Hilton Hotel New York City - Chelsea,267,310,7.8,Good,1092,Chelsea
1,3,2024-07-20,69,SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,246,285,9.0,Wonderful,235,New York
1,3,2024-07-20,70,Four Points by Sheraton Midtown-Times Square,269,312,8.8,Excellent,1340,New York
1,3,2024-07-20,71,Wingate by Wyndham New York Midtown South/5th Ave,285,330,8.6,Excellent,1010,New York
1,3,2024-07-20,72,East Village Hotel,226,265,8.2,Very Good,656,New York
1,3,2024-07-20,73,Renaissance New York Midtown Hotel,323,374,9.2,Wonderful,1003,New York
