Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M11;3,975
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M10;4,502
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M09;6,580
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M08;5,336
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M07;2,459
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M06;4,099
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M05;4,011
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M04;4,042
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M03;4,136
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M02;3,369
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M01;3,238
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M12;3,918
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M11;3,694
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M10;3,904
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M09;3,542
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M08;2,355
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M07;2,710
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M06;2,606
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M05;2,644
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M04;2,538
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M03;2,344
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M02;1,915
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2022M01;1,593
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M12;2,025
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M11;2,151
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M10;2,178
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M09;2,082
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M08;1,848
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M07;1,939
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M06;1,679
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M05;1,545
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M04;1,336
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M03;1,326
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M02;944
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2021M01;886
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M12;1,079
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M11;1,018
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M10;1,340
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M09;1,303
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M08;1,182
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M07;1,287
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M06;509
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M05;360
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M04;186
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M03;1,402
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M02;2,580
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2020M01;2,503
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M12;2,706
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M11;2,840
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M10;2,957
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M09;2,915
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M08;2,513
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M07;2,938
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M06;2,731
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M05;3,048
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M04;2,944
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M03;2,771
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M02;2,467
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2019M01;2,400
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2018M12;2,644
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2018M11;2,710
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2018M10;3,049
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2018M09;2,950
